2022-09-11 14:56:09,189 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-09-11 14:56:09,225 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-09-11 14:56:09,227 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2022-09-11 14:56:09,227 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2022-09-11 14:56:09,238 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-09-11 14:56:09,239 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-09-11 14:56:09,240 INFO  SwAddin.cs: 201 - Setting up command manager
2022-09-11 14:56:09,241 INFO  SwAddin.cs: 204 - Adding command manager
2022-09-11 14:56:09,245 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-09-11 14:56:09,247 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-09-11 14:56:09,248 INFO  SwAddin.cs: 210 - Adding event handlers
2022-09-11 14:56:09,270 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-09-11 15:01:11,270 INFO  SwAddin.cs: 294 - Assembly export called for file µç¶¯Ä©¶ËÖ´ÐÐÆ÷×°ÅäÌå.SLDASM
2022-09-11 15:01:11,272 INFO  SwAddin.cs: 299 - Save is required
2022-09-11 15:01:11,273 INFO  SwAddin.cs: 313 - Saving assembly
2022-09-11 15:01:13,205 INFO  SwAddin.cs: 316 - Opening property manager
2022-09-11 15:01:13,231 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from µç¶¯Ä©¶ËÖ´ÐÐÆ÷×°ÅäÌå.SLDASM
2022-09-11 15:01:13,235 INFO  ExportHelperExtension.cs: 1136 - Found 40 in µç¶¯Ä©¶ËÖ´ÐÐÆ÷×°ÅäÌå.SLDASM
2022-09-11 15:01:13,236 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [CoordSys] in µç¶¯Ä©¶ËÖ´ÐÐÆ÷×°ÅäÌå.SLDASM
2022-09-11 15:01:13,236 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-09-11 15:01:13,238 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2022-09-11 15:01:13,239 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from ±¾Ìå-1
2022-09-11 15:01:13,240 INFO  ExportHelperExtension.cs: 1136 - Found 46 in ±¾Ìå-1
2022-09-11 15:01:13,241 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in ±¾Ìå-1
2022-09-11 15:01:13,263 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Ì×¸Ë-1
2022-09-11 15:01:13,264 INFO  ExportHelperExtension.cs: 1136 - Found 26 in Ì×¸Ë-1
